name,confirmed
CENTRO,5622
INGLESES,4953
ITACORUBI,2288
SANTA MONICA,1100
TRINDADE,3239
ESTREITO,2981
AGRONOMICA,2914
SACO GRANDE,2367
MONTE VERDE,500
RIO VERMELHO,2719
CANASVIEIRAS,2642
CORREGO GRANDE,2272
COQUEIROS,2100
TAPERA,2038
MONTE CRISTO,2032
ABRAAO,2016
CAMPECHE,1938
RIO TAVARES,1876
JURERE,912
JURERE INTERNACIONAL,913
LAGOA DA CONCEICAO,1822
COLONINHA,1811
SACO DOS LIMOES,1755
CARIANOS,1700
BALNEARIO,1593
CAPOEIRAS,1564
COSTEIRA,1483
CARVOEIRA,1444
PANTANAL,1380
JOAO PAULO,1262
MORRO DAS PEDRAS,1183
BARRA DA LAGOA,1177
SANTO ANTONIO DE LISBOA,1172
RIBEIRAO,1123
JARDIM ATLANTICO,1067
CACHOEIRA DO BOM JESUS,1053
JOSE MENDES,952
ARMACAO,920
PONTA DAS CANAS,907
VARGEM GRANDE,684
RATONES,650
CANTO DA LAGOA,529
PANTANO DO SUL,428
RIBEIRAO DA ILHA,394
VARGEM PEQUENA,347
COSTA,75
